"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
23,30,2.77320452244448,0.398353454443082,2.14590295396756,2.21463912905473,3.51060919552482,2.70600394712328,3.51060919552482,3.51060919552482,3.6410055725076,"2020-03-16"
24,31,2.51770998101133,0.357587272724372,1.95948561467509,2.0171082763911,3.18687898119835,2.45821653520972,3.18687898119835,3.18687898119835,3.30218971241983,"2020-03-17"
25,32,2.26727019663126,0.311717222481575,1.78868625408076,1.83658399709782,2.85196516692319,2.21163273398731,2.85196516692319,2.85196516692319,2.95567447190809,"2020-03-18"
26,33,2.06427175785265,0.256250944137933,1.67499785314364,1.71278641711657,2.54917357473241,2.01884713878909,2.54917357473241,2.54917357473241,2.63157013447344,"2020-03-19"
27,34,1.97998156907847,0.215376012621445,1.64927387853969,1.68168576373435,2.38397024548059,1.94317420946434,2.38397024548059,2.38397024548059,2.45505386855393,"2020-03-20"
28,35,1.87889476821747,0.180682920829749,1.59438812818183,1.62360500251053,2.21600925804372,1.85110373232896,2.21600925804372,2.21600925804372,2.2663006391474,"2020-03-21"
29,36,1.75395595574306,0.154601189016584,1.50476886235654,1.53155689479534,2.03701666479639,1.73229340303394,2.03701666479639,2.03701666479639,2.07979982749701,"2020-03-22"
30,37,1.70099920145459,0.138010988663816,1.47766180154658,1.50037577311733,1.95333992142604,1.68272826630424,1.95333992142604,1.95333992142604,1.99073425325784,"2020-03-23"
31,38,1.6043163280795,0.11894623607316,1.41008989438095,1.43065722524464,1.81984065074471,1.5889899402469,1.81984065074471,1.81984065074471,1.85375892767699,"2020-03-24"
32,39,1.53957224494746,0.105406519535705,1.36715998148454,1.38578290408479,1.73159177944877,1.52670223124523,1.73159177944877,1.73159177944877,1.7599293173149,"2020-03-25"
33,40,1.48533172624791,0.0924665157597181,1.331597979734,1.34912689634782,1.6526029794951,1.47499091149067,1.6526029794951,1.6526029794951,1.6787814465237,"2020-03-26"
34,41,1.38674066810502,0.07888317781898,1.25494141593914,1.27003426412779,1.52736367489341,1.37842784076099,1.52736367489341,1.52736367489341,1.55205317488117,"2020-03-27"
35,42,1.29087913058633,0.0666540229120569,1.17810245574668,1.1919095118727,1.40934628020719,1.28426926262456,1.40934628020719,1.40934628020719,1.42897868736141,"2020-03-28"
