"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
22,29,1.392280136356,0.264767779826267,0.920404014284808,0.988155741783235,1.85460445170557,1.37457644744588,1.85460445170557,1.85460445170557,1.96665235819394,2020-01-26
23,30,1.36777179825982,0.25590977985274,0.913436447531063,0.977855661071125,1.81742790170217,1.35013854894287,1.81742790170217,1.81742790170217,1.91975558757395,2020-01-27
24,31,1.45196207586409,0.258150512450692,0.994917228281226,1.05819022627936,1.90153988349858,1.4353895182806,1.90153988349858,1.90153988349858,2.00310871145642,2020-01-28
25,32,1.31565521263587,0.236232598403526,0.901574887890347,0.955573867104023,1.72653378033112,1.30251768775511,1.72653378033112,1.72653378033112,1.82531557268165,2020-01-29
26,33,1.37381471007245,0.232661370734891,0.953516062572288,1.01256519882212,1.77936167205374,1.3609831308477,1.77936167205374,1.77936167205374,1.86919973034384,2020-01-30
27,34,1.29632503425805,0.21859105813937,0.908228616136682,0.962282058745235,1.68262633190873,1.2817228882017,1.68262633190873,1.68262633190873,1.76464544836375,2020-01-31
28,35,1.218064026866,0.202663600211629,0.851095810258303,0.903220882771703,1.56893635262744,1.20781163077568,1.56893635262744,1.56893635262744,1.64020098554608,2020-02-01
29,36,1.06346471498025,0.185034640577479,0.735185502109079,0.780801514319039,1.38554048797746,1.05120318449271,1.38554048797746,1.38554048797746,1.45399856284105,2020-02-02
30,37,1.05242696345233,0.178932567341478,0.733701226129032,0.776454745967464,1.3626594138336,1.04204849356223,1.3626594138336,1.3626594138336,1.43026467827078,2020-02-03
31,38,1.03534081804923,0.175157809226829,0.719187792465618,0.764027486745852,1.33636125787232,1.02590790890027,1.33636125787232,1.33636125787232,1.40420877996759,2020-02-04
32,39,0.967643863227959,0.16897813581673,0.664759739311542,0.707441128825982,1.25913349321118,0.959242340961494,1.25913349321118,1.25913349321118,1.32315656305958,2020-02-05
33,40,1.0240511622512,0.173532190961488,0.711701947824911,0.757110936985519,1.3217621020811,1.01442951845893,1.3217621020811,1.3217621020811,1.39007183884322,2020-02-06
34,41,0.971668570231243,0.168829363854029,0.668106126133846,0.710068335039934,1.26716263798586,0.962181413646343,1.26716263798586,1.26716263798586,1.33125195258413,2020-02-07
35,42,0.976958793760371,0.170222666205798,0.676117277807157,0.718235312430052,1.27584757239984,0.967453341350964,1.27584757239984,1.27584757239984,1.33335819671348,2020-02-08
36,43,1.10499279540347,0.181291540131613,0.777636605253178,0.824733633820855,1.42049102792433,1.09457154207069,1.42049102792433,1.42049102792433,1.48895553975696,2020-02-09
37,44,1.40925775432935,0.204876546269177,1.04094679084308,1.09125789308478,1.76234948021098,1.39792097188742,1.76234948021098,1.76234948021098,1.83802954734955,2020-02-10
38,45,1.29761958114693,0.196867297997434,0.94219571334024,0.992423914173283,1.63849740451121,1.28737947119359,1.63849740451121,1.63849740451121,1.71089455501084,2020-02-11
39,46,1.37982088250339,0.202527463197817,1.01346615075569,1.06522679925094,1.72951046707979,1.36917123480154,1.72951046707979,1.72951046707979,1.80616876330113,2020-02-12
40,47,1.40547094888343,0.199584757063725,1.0427049862732,1.09562006802204,1.74758550570896,1.39611602933554,1.74758550570896,1.74758550570896,1.82447623632203,2020-02-13
41,48,1.34170226176344,0.191265562554595,0.995119813054798,1.04591755417132,1.67219693265486,1.33182882685919,1.67219693265486,1.67219693265486,1.74276540885527,2020-02-14
42,49,1.34613974763279,0.184371879857894,1.01035268859431,1.05946796353796,1.66583268588721,1.33669172926582,1.66583268588721,1.66583268588721,1.73614727878334,2020-02-15
43,50,1.30487658983503,0.17450541116741,0.986145896540136,1.03255685052463,1.6007924078556,1.29672411789516,1.6007924078556,1.6007924078556,1.67046608877605,2020-02-16
44,51,1.20931150734174,0.162255466536487,0.911763669561563,0.954663787503451,1.48671845473389,1.20318422997706,1.48671845473389,1.48671845473389,1.54817867473045,2020-02-17
45,52,0.951774461964133,0.138436709842624,0.702075244878403,0.740325094260066,1.18889318898995,0.943574600330807,1.18889318898995,1.18889318898995,1.24279368162036,2020-02-18
46,53,1.01130813554227,0.13951571134573,0.756950489866917,0.794552524782692,1.25274586575899,1.00467204138177,1.25274586575899,1.25274586575899,1.30459230459619,2020-02-19
47,54,1.11469925181761,0.145035445673485,0.849124909770052,0.889250735729779,1.36520277408516,1.10837750878402,1.36520277408516,1.36520277408516,1.41858547552218,2020-02-20
48,55,1.13046980724564,0.14508766777654,0.864947984129483,0.904035496034086,1.38133577443418,1.12484562816225,1.38133577443418,1.38133577443418,1.4344536331948,2020-02-21
49,56,1.22995302444809,0.149940762508404,0.955844397667721,0.995262327442568,1.48639264410094,1.2244241842511,1.48639264410094,1.48639264410094,1.54038432044788,2020-02-22
50,57,1.2012701004213,0.147610507286924,0.930781104066773,0.971111441845342,1.45531733138747,1.19542126415511,1.45531733138747,1.45531733138747,1.51026574455712,2020-02-23
51,58,1.24818792867449,0.150200595245116,0.973596885415823,1.01335771401088,1.50598659782364,1.24091942570233,1.50598659782364,1.50598659782364,1.55764385746873,2020-02-24
52,59,1.31487572594691,0.150366519314127,1.03936023728469,1.07827563155722,1.5713847698234,1.30917645056186,1.5713847698234,1.5713847698234,1.62513248409037,2020-02-25
53,60,1.30456358742182,0.148683899146443,1.03240511164215,1.07093317414768,1.55731317505403,1.29812174611754,1.55731317505403,1.55731317505403,1.61231556700319,2020-02-26
54,61,1.25263730043239,0.142277309205919,0.991429608590323,1.02915244293874,1.49744940446595,1.24743692489385,1.49744940446595,1.49744940446595,1.55050652502917,2020-02-27
55,62,1.20139785577017,0.136438462421497,0.949752596458765,0.988163285331611,1.43521049537272,1.19642239493009,1.43521049537272,1.43521049537272,1.48314334807153,2020-02-28
